xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
p7_can_metal_open_beans,1.80,62,3.53,3.29,6.66,77.27,9
p7_zm_der2_light_hurricane_lamp,15.71,60,12.83,11.50,26.46,3905.17,15
p7_debris_clothing_tshirts_01,7.81,52,23.20,22.85,4.42,2342.22,10
p7_towels_single_01,10.59,52,22.93,32.16,4.32,3187.14,15
p7_debris_wood_plank_old_32_dark,18.63,48,12.00,32.00,2.80,1074.23,38
p7_tools_jar_glass_nails_screws,3.86,48,4.49,4.49,6.92,139.80,4
p7_medical_dish_kidney_bloody,3.68,48,6.92,12.87,2.12,189.00,2
p7_debris_wood_plank_old_32,18.63,48,12.00,32.00,2.80,1074.23,4
p7_debris_wood_plank_old_32_darker,18.63,48,12.00,32.00,2.80,1074.23,29
p7_can_metal_open,2.39,46,3.53,3.29,6.66,77.27,8
p7_cup_coffee_mug_01,1.80,46,5.45,3.87,4.04,85.25,2
p7_debris_wood_board_2pc_4x4x128_rt_burn,14.23,44,44.63,3.95,4.00,704.76,14
p7_conduit_metal_2_body_joint_ll,3.94,44,5.00,4.36,11.43,249.42,4
p7_conduit_rust_2_body_end,3.94,44,4.00,4.36,10.99,191.79,3
p7_zm_der_chainlink_fence_door_bracket_snow,2.24,40,4.06,14.17,2.96,170.34,5
c_zom_dlchd_sumpf_zombies_hat3,5.30,38,11.81,11.55,10.37,1414.74,1
p7_towels_folded_01,10.21,37,19.93,14.19,4.27,1206.98,4
p7_can_metal_01_small,0.84,36,3.09,3.09,1.78,17.02,18
p7_can_metal_01,2.43,36,4.00,4.00,5.29,84.66,59
p7_canteen_bottle,5.69,36,8.76,5.70,12.92,644.36,15
p7_desk_metal_old_01_drawer_large_01_rusty,42.75,36,15.51,18.87,14.25,4171.18,3
p7_desk_metal_old_01_drawer_small_01_rusty,29.73,36,15.51,18.87,7.13,2085.59,9
aml_fish_salmon_01,19.86,34,40.81,8.06,13.19,4339.93,48
p7_conduit_metal_2_coupling_ribbed,1.23,32,2.48,2.48,4.00,24.66,10
p7_conduit_rust_2_union,1.26,32,3.00,2.60,3.00,23.43,9
p7_conduit_rust_2_straight_8,1.71,32,2.00,2.00,8.00,32.00,2
p7_conduit_rust_2_straight_32,6.30,32,2.00,2.00,32.00,128.00,3
p7_conduit_rust_2_straight_16,3.24,32,2.00,2.00,16.00,64.00,3
p7_conduit_rust_2_coupling_ribbed,1.23,32,2.48,2.48,4.00,24.66,12
p7_conduit_rust_1_coupling_ribbed,0.29,32,1.24,1.24,2.00,3.08,24
c_zom_dlchd_sumpf_zombies_s_larm,4.50,31,23.14,11.99,7.50,2080.06,1
p7_toolbox_handheld_small_red,44.98,30,10.01,25.59,9.51,2434.97,2
c_zom_dlchd_sumpf_zombies_hat2,5.09,30,10.40,11.34,9.79,1154.60,1
c_zom_dlchd_sumpf_zombies_hat4,4.01,29,6.20,11.36,7.20,506.50,1
c_zom_dlchd_sumpf_zombies_hat1,5.69,29,7.69,10.96,8.44,711.04,1
p7_sgen_cable_connectors_02b,0.94,28,2.33,2.33,3.34,18.09,6
p7_conduit_rust_2_coupling_bare,1.04,28,2.34,2.34,3.00,16.43,3
p7_suspension_bridge_bolt_04_rusty,0.64,28,2.57,2.57,1.00,6.62,25
p7_bottle_plastic_2litre_crushed_green,4.42,26,11.71,5.42,3.01,190.73,15
p7_medical_surgical_tools_syringe,0.51,26,10.87,2.92,1.17,37.19,2
p7_zm_der_light_socket,2.59,26,5.89,5.89,2.91,101.10,3
p7_office_paper_stack_sml,36.17,24,15.74,19.44,5.34,1633.49,7
p7_debris_wood_board_2pc_2x8x128_rt_burn,35.55,24,51.58,8.20,2.08,881.45,12
p7_debris_trash_can_cola_01,1.85,24,3.61,4.98,2.49,44.62,15
p7_zm_der_chainlink_fence_door_elbow,3.61,24,4.51,7.29,7.15,235.25,3
p7_dock_wood_rustic_board_single_dmg2_01,47.33,22,51.70,8.13,2.19,921.40,33
c_zom_dlchd_sumpf_zombies_s_lleg,12.53,21,16.54,13.48,7.49,1669.66,1
p7_debris_wood_board_2pc_2x4x128_rt_burn,20.22,20,40.65,4.01,2.00,325.71,15
p7_book_vintage_05,16.58,20,11.37,9.30,3.20,338.41,4
p7_medical_surgical_tray_tools_bloody,33.08,20,18.34,28.08,2.44,1255.01,2
p7_debris_wood_board_2pc_2x4x128_lt_burn,36.67,20,71.76,4.01,1.96,564.60,4
p7_debris_trash_fabsoft_01,21.79,20,9.94,6.43,14.38,917.84,17
p7_conduit_rust_2_strap_lrg,0.46,20,4.43,5.11,0.70,15.79,4
p7_book_vintage_06,14.38,20,11.16,9.22,2.25,231.31,6
p7_book_vintage_06_burn,14.38,20,11.16,9.22,2.25,231.31,7
p7_book_vintage_05_burn,16.58,20,11.37,9.30,3.20,338.41,6
p7_medical_surgical_tools_tongs,0.08,18,7.39,4.38,0.92,29.92,2
p7_debris_wood_plank_old_64b_dark,12.53,16,12.11,64.00,3.02,2344.28,43
p7_skulls_bones_leg_lower,4.98,16,2.40,3.48,18.07,151.06,3
p7_skulls_bones_leg_upper,4.35,16,3.74,5.74,18.61,399.99,8
p7_debris_wood_plank_old_64b_darker_tint_grn,12.53,16,12.11,64.00,3.02,2344.28,6
aml_fish_market_02,20.66,16,28.25,3.61,9.77,995.07,153
p7_farm_tools_hoe,4.99,16,8.03,65.14,10.00,5233.80,4
p7_farm_tools_pliers_01,1.79,16,4.95,12.55,1.32,81.94,4
p7_farm_tools_shovel_01,17.90,16,11.43,64.74,4.01,2963.72,4
p7_farm_tools_wrench,3.21,16,3.71,15.00,0.72,39.80,4
p7_food_fruit_orange,1.91,16,3.79,3.77,3.51,50.11,2
p7_food_fruit_peach,2.32,16,3.24,3.21,3.23,33.64,4
p7_kitchen_knives_set_cleaver,2.53,16,2.75,0.69,11.39,21.57,3
p7_medical_surgical_tools_clip,0.70,16,10.79,1.90,0.60,12.43,3
p7_medical_surgical_tools_clippers,0.54,16,8.75,3.97,0.45,15.51,4
p7_medical_surgical_tools_knife,0.66,16,7.86,0.94,0.41,2.98,2
p7_barrel_vintage_wood_lid_wet,39.02,16,20.87,20.81,0.39,171.18,34
p7_bottle_plastic_shampoo02_dmg,4.78,16,3.57,1.50,9.73,52.24,17
p7_cigarette_pack,2.10,16,2.59,3.86,1.36,13.63,17
p7_debris_trash_paper_plate_01,7.67,16,9.27,9.27,0.34,29.36,15
p7_debris_trash_drink_carrier_01,11.41,16,10.21,10.23,2.20,230.25,15
p7_debris_trash_cup_coffee_02,2.38,16,4.21,6.20,3.23,84.31,15
c_zom_dlchd_sumpf_zombies_s_rarm,1.35,16,11.99,4.73,5.12,290.43,1
p7_gib_chunk_meat_01,4.31,16,2.61,7.35,8.75,167.67,1
p7_gib_chunk_meat_02,3.93,16,4.00,7.68,5.48,168.48,1
p7_gib_chunk_flesh_01,2.48,16,4.98,1.51,5.99,45.20,1
p7_gib_chunk_flesh_02,1.75,16,1.42,5.32,4.56,34.36,1
p7_gib_chunk_flesh_03,1.63,16,3.89,1.82,4.60,32.62,1
p7_gib_chunk_bone_01,0.66,16,1.93,2.13,4.84,19.91,1
p7_gib_chunk_bone_02,0.91,16,2.83,3.32,2.05,19.34,1
p7_gib_chunk_bone_03,1.07,16,2.66,4.52,3.11,37.40,1
c_zom_dlchd_sumpf_zombies_s_rleg,3.99,16,11.15,10.54,4.16,488.82,1
p7_debris_trash_cup_coffee_01,2.05,16,3.56,3.51,5.29,66.07,15
p7_debris_trash_food_box_01,9.85,16,9.80,9.11,1.30,115.68,17
p7_debris_trash_cup_red_01,4.31,16,3.50,3.50,4.76,58.44,17
p7_debris_trash_snack_bag_06,6.87,16,5.34,8.78,7.48,350.82,17
p7_debris_wood_plank_old_64b,12.53,16,12.11,64.00,3.02,2344.28,76
p7_gib_chunk_meat_03,4.97,15,3.14,6.78,7.21,153.74,1
p7_zm_der_light_socket_02,2.13,14,3.72,3.72,2.08,28.82,3
p7_conduit_rust_1_outlet_plug_cover,7.69,12,3.07,3.69,6.12,69.38,2
p7_tools_hammer,2.96,12,5.76,13.85,1.19,95.03,4
p7_cleaning_paper_folded_half_dirty,10.42,12,3.48,10.01,2.86,99.74,51
p7_plank_wood_broken_sml_2x4x64,20.98,12,4.00,21.01,1.99,167.40,29
p7_plank_wood_broken_sml_2x4x64_wet,20.98,12,4.00,21.01,1.99,167.40,11
p7_medical_gauze_sanitation_towels_02_dirty,30.13,12,13.40,9.81,3.75,492.82,10
p7_medical_surgical_tools_bonesaw,9.09,12,16.05,2.63,0.92,38.97,3
p7_medical_surgical_tools_clamps,5.05,12,7.46,3.09,0.98,22.69,3
p7_conduit_rust_1_outlet_box_cover,18.77,12,8.00,3.66,8.00,233.97,5
p7_medical_surgical_tools_hammer,6.46,12,10.75,3.91,1.49,62.44,2
p7_chain_metal_bracket_01_rusty,9.90,12,6.00,6.00,5.00,180.00,43
p7_zm_der_light_bulb_small,4.10,12,2.33,2.33,4.99,27.07,5
p7_conduit_rust_1_outlet_box,18.77,12,8.00,3.00,8.00,191.98,7
p7_office_paper_sheet_01,30.58,10,10.00,15.82,1.60,253.87,2
p7_tools_nail,0.09,8,0.46,0.46,2.06,0.44,18
p7_zm_der_signage_hazard_01,33.50,8,15.24,0.65,13.59,134.72,2
p7_hook_metal_shelf,1.12,6,1.25,6.00,4.75,35.60,63
p7_debris_trash_snack_bag_02,15.61,4,4.81,7.68,2.70,99.84,15
p7_debris_trash_corner_clump_02,15.61,4,5.84,9.50,3.71,206.24,9
