xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
p7_ammo_pouch_mp40,1.03,58,7.73,2.46,8.42,160.31,48
fx_rifle_shell,0.07,58,0.50,2.45,0.48,0.59,1
p7_coffee_table_round_wood_01_worn,27.03,54,35.16,35.16,19.66,24302.95,9
p7_debris_clothing_tshirts_01_green_dirty,7.81,52,23.20,22.85,4.42,2342.22,2
p7_barrel_wood_coffee,7.19,52,8.96,8.96,10.53,845.56,4
p7_debris_clothing_tshirts_01_dirty,7.81,52,23.20,22.85,4.42,2342.22,2
p7_fxp_debris_wood_splinter_03,0.39,52,1.00,6.09,1.13,6.85,1
p7_eth_rock_cluster_03,47.65,50,87.73,77.33,16.47,111711.38,3
p7_cai_hav_rock_boulder_med_02,42.14,48,29.80,29.63,15.24,13455.76,3
p7_tools_jar_glass_nails_screws,3.86,48,4.49,4.49,6.92,139.80,2
p7_office_paper_stack_lrg,38.48,48,15.74,19.44,13.19,4037.24,2
p7_fxp_debris_wood_splinter_02,0.15,48,0.78,3.73,0.88,2.55,1
fx_bullet_chain,0.03,48,0.91,0.86,0.46,0.36,1
p7_coffee_grinder_01_beans_lrg,1.53,46,7.10,7.09,4.74,238.74,2
p7_cup_coffee_mug_01_grey,1.80,46,5.45,3.87,4.04,85.25,2
p7_cup_coffee_mug_01_black,1.80,46,5.45,3.87,4.04,85.25,3
p7_cup_coffee_mug_01,1.80,46,5.45,3.87,4.04,85.25,3
p7_coffee_grinder_01_beans_sml,0.20,45,3.47,3.12,0.85,9.26,2
p7_bed_pillow_barrack_clean,29.00,44,35.41,20.53,6.92,5027.52,9
p7_ammo_pouch_g43,3.69,44,9.47,3.58,5.74,194.49,23
p7_zm_der_pswitch_handle,8.56,44,18.42,4.44,25.20,2060.67,1
p7_glass_railing_strut_180,4.50,42,4.00,4.00,35.10,561.66,37
p7_ammo_pouch_k98,3.48,42,11.70,3.38,5.84,230.93,25
p7_grenade_potato_masher,0.80,40,2.56,2.56,14.05,91.76,486
p7_zm_der_chainlink_fence_post_cap,0.87,40,4.36,4.36,3.41,64.92,6
p7_aqu_railings_set_stairs_bottom_metal,29.90,36,5.43,27.25,47.43,7020.59,7
p7_file_cab_metal_02_drawer_01,45.49,36,16.00,20.04,14.00,4488.63,101
p7_zm_zod_fruit_basket_02,32.89,32,16.74,17.07,14.33,4095.18,8
p7_zm_zod_fruit_basket_04,32.89,32,16.74,17.43,14.87,4337.71,10
p7_zm_der_transformer_rod,41.19,32,16.00,16.00,45.50,11647.99,7
p7_cup_coffee_mug,1.40,32,4.40,2.90,3.47,44.30,4
p7_zm_zod_fruit_basket_03,32.89,32,16.74,17.07,14.49,4140.61,4
p7_toolbox_handheld_small_red,44.98,30,10.01,25.59,9.51,2434.97,3
p7_cup_coffee_paper,2.77,30,3.62,3.62,5.50,71.99,49
p7_cup_coffee_paper_stack_01,2.77,30,3.62,3.62,5.50,71.99,4
c_t7_mp_warrior_mpc_body1_s_rarm,3.62,28,8.80,5.88,5.60,289.82,1
p7_fxp_debris_dirt_clod_01_brown,0.43,28,2.59,1.59,1.72,7.13,21
p7_zm_der_chainlink_fence_rail_end,1.45,28,9.13,4.06,3.13,116.06,37
c_t7_mp_warrior_mpc_body1_s_rleg,23.17,28,24.34,13.61,8.46,2803.83,1
c_t7_mp_warrior_mpc_body1_s_lleg,24.16,26,23.45,18.93,9.15,4062.13,1
p7_zm_der_chainlink_fence_door_elbow,3.61,24,4.51,7.29,7.15,235.25,5
p7_office_paper_stack_sml,36.17,24,15.74,19.44,5.34,1633.49,5
c_nrc_gen_g_larmspawn,4.09,24,8.56,4.26,6.73,245.21,1
c_t7_mp_warrior_mpc_body1_s_larm,20.82,24,23.45,11.86,8.02,2230.47,1
p7_zm_der_chainlink_fence_metal_base,16.31,20,9.88,9.88,9.98,973.07,7
p7_zm_der_magic_box_fake,28.14,20,12.97,10.80,14.06,1970.22,1
p7_proto_fence_chainlink_post,23.09,19,3.66,14.22,116.96,6082.89,21
c_nrc_gen_g_rlegspawn,17.68,18,10.40,13.49,8.06,1131.09,1
p7_fxp_debris_rock_03,2.50,16,4.58,4.01,1.96,36.05,1
p7_lt_boxes_medicin_pile_04,19.74,16,7.07,9.61,8.75,594.49,2
p7_lt_boxes_medicin_pile_02,19.74,16,7.07,9.61,8.75,594.49,3
p7_fxp_debris_car_glass_shatter_01,0.06,16,0.63,0.74,0.41,0.19,1
p7_debris_trash_cup_coffee_02,2.38,16,4.21,6.20,3.23,84.31,6
p7_fxp_debris_car_glass_shatter_02,0.07,16,0.60,0.79,0.42,0.20,1
p7_lt_boxes_medicin_pile_03,19.74,16,7.07,9.61,8.75,594.49,3
p7_skulls_bones_leg_upper,4.35,16,3.74,5.74,18.61,399.99,2
p7_skulls_bones_leg_lower,4.98,16,2.40,3.48,18.07,151.06,2
p7_zm_der2_vending_packapunch_sign_wait,27.90,16,20.44,0.25,21.56,111.32,1
p7_crate_bomb_bomb,7.24,16,42.48,12.77,12.78,6930.08,27
p7_gib_chunk_meat_01,4.31,16,2.61,7.35,8.75,167.67,1
p7_gib_chunk_meat_02,3.93,16,4.00,7.68,5.48,168.48,1
p7_gib_chunk_flesh_01,2.48,16,4.98,1.51,5.99,45.20,1
p7_gib_chunk_flesh_02,1.75,16,1.42,5.32,4.56,34.36,1
p7_gib_chunk_flesh_03,1.63,16,3.89,1.82,4.60,32.62,1
p7_gib_chunk_bone_01,0.66,16,1.93,2.13,4.84,19.91,1
p7_gib_chunk_bone_02,0.91,16,2.83,3.32,2.05,19.34,1
p7_gib_chunk_bone_03,1.07,16,2.66,4.52,3.11,37.40,1
p7_lt_boxes_medicin_pile_01,19.74,16,7.07,9.61,8.75,594.49,7
p7_fxp_debris_wood_splinter_01,0.21,16,0.95,1.67,0.29,0.45,1
p7_zm_der_chainlink_fence_tension_band,2.17,16,7.54,4.10,1.27,39.19,57
p7_fxp_debris_rock_01,0.75,16,2.59,1.59,1.72,7.13,1
p7_fxp_debris_rock_02,1.01,16,3.34,1.90,2.12,13.47,1
p7_gib_chunk_meat_03,4.97,15,3.14,6.78,7.21,153.74,1
p7_chain_metal_bracket_01,9.90,12,6.00,6.00,5.00,180.00,4
p7_medical_bag_supply_dirty,49.23,12,14.23,8.47,10.50,1266.07,3
p7_aqu_railings_set_end_post_metal,33.50,12,5.43,5.57,32.00,968.49,5
p7_tools_hammer,2.96,12,5.76,13.85,1.19,95.03,2
p7_medical_gauze_pads_box_red_dirty,5.95,12,2.36,3.56,4.13,34.66,4
p7_pouch_ammo_02,25.33,12,4.80,9.37,9.41,423.37,10
p7_medical_gauze_sanitation_towels_02,30.13,12,13.40,9.81,3.75,492.82,13
p7_food_box_chocolate_blue,5.97,12,0.50,8.00,4.04,16.22,4
p7_medical_gauze_pads_box_blue,5.95,12,2.36,3.56,4.13,34.66,34
p7_zm_der_light_bulb_small,4.10,12,2.33,2.33,4.99,27.07,40
p7_medical_gauze_pads_box_red,5.95,12,2.36,3.56,4.13,34.66,28
p7_medical_gauze_pads_box,5.95,12,2.36,3.56,4.13,34.66,85
p7_fxp_debris_car_glass_shatter_03,0.07,12,0.59,0.61,0.26,0.09,1
p7_box_copy_paper_ream_01,20.82,12,7.88,11.25,2.11,187.15,20
p7_book_office_lrg_red,36.67,12,11.70,2.91,13.97,475.45,8
p7_coffee_bean_pile_01_med,34.12,8,24.49,15.99,1.47,575.36,2
p7_tools_nail,0.09,8,0.46,0.46,2.06,0.44,3
p7_zm_der2_signage_hazard_01,33.50,8,15.24,0.65,13.59,134.72,4
p7_hook_metal_shelf,1.12,6,1.25,6.00,4.75,35.60,52
