xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
p7_pipe_metal_hp_12_straight_32_grey_dk,27.25,80,18.00,18.00,32.00,10368.00,3
p7_pipe_metal_hp_12_straight_32_blue,27.25,80,18.00,18.00,32.00,10368.00,22
p7_pipe_metal_hp_12_elbow_45_white,18.72,80,20.05,18.00,17.68,6379.95,3
p7_pipe_metal_hp_12_straight_16_white,20.39,80,18.00,18.00,16.00,5184.00,7
p7_pipe_metal_hp_12_straight_16_grey_dk,20.39,80,18.00,18.00,16.00,5184.00,3
p7_pipe_metal_hp_4_elbow_90_yellow,3.86,76,11.00,6.00,11.00,726.00,5
p7_bottle_plastic_cleaner_dmg,1.90,74,2.95,4.99,13.09,193.00,5
p7_pipe_metal_hp_4_valve_01_yellow,9.01,64,18.54,7.15,8.00,1059.69,4
p7_bottle_plastic_16oz_cola_dmg,0.84,64,2.43,2.43,8.15,48.03,5
p7_bottle_plastic_16oz_blue_dmg,0.84,64,2.43,2.43,7.52,44.31,5
p7_pipe_metal_hp_12_flange_blue,9.12,60,18.00,18.00,1.64,532.91,10
p7_pipe_metal_hp_12_flange_grey_dk,9.12,60,18.00,18.00,1.64,532.91,3
p7_aqu_railings_set_stairs_metal_48,29.10,60,5.43,49.14,56.97,15206.47,5
p7_aqu_railings_set_metal_end_32,21.09,54,5.43,33.72,32.00,5860.59,3
p7_street_manhole_cover_01,16.90,46,34.41,34.46,0.95,1124.59,6
p7_pipe_metal_hp_12_brace_lrg_1_grey_dk,28.91,40,20.00,36.01,7.94,5719.48,7
p7_pipe_metal_hp_12_brace_lrg_1_white,28.91,40,20.00,36.01,7.94,5719.48,4
p7_toolbox_handheld_small_red,44.98,30,10.01,25.59,9.51,2434.97,2
p7_pipe_metal_hp_4_coupling_yellow,4.38,28,7.21,8.19,1.51,89.05,34
p7_bottle_plastic_2litre_crushed_green,4.42,26,11.71,5.42,3.01,190.73,17
p7_pipe_metal_hp_4_t_joint_yellow,27.13,24,16.00,6.00,11.00,1056.00,4
p7_debris_trash_can_cola_01,1.85,24,3.61,4.98,2.49,44.62,17
p7_crane_gantry_hangar_hook,8.78,20,8.57,5.43,15.73,731.06,9
p7_ibeam_bracket_junction_01,25.95,20,12.00,11.90,12.00,1713.05,17
p7_zm_der_magic_box_fake,28.14,20,12.97,10.80,14.06,1970.22,1
p7_debris_trash_fabsoft_01,21.79,20,9.94,6.43,14.38,917.84,5
p7_proto_fence_chainlink_post,23.09,19,3.66,14.22,116.96,6082.89,3
p7_bottle_plastic_shampoo02_dmg,4.78,16,3.57,1.50,9.73,52.24,5
p7_debris_trash_paper_plate_01,7.67,16,9.27,9.27,0.34,29.36,17
p7_debris_trash_food_box_01,9.85,16,9.80,9.11,1.30,115.68,5
p7_gib_chunk_bone_03,1.07,16,2.66,4.52,3.11,37.40,1
p7_farm_tools_shovel_01,17.90,16,11.43,64.74,4.01,2963.72,2
p7_debris_trash_snack_bag_06,6.87,16,5.34,8.78,7.48,350.82,5
p7_debris_trash_drink_carrier_01,11.41,16,10.21,10.23,2.20,230.25,17
p7_debris_trash_cup_red_01,4.31,16,3.50,3.50,4.76,58.44,5
p7_debris_trash_cup_coffee_02,2.38,16,4.21,6.20,3.23,84.31,17
p7_debris_trash_cup_coffee_01,2.05,16,3.56,3.51,5.29,66.07,17
p7_gib_chunk_bone_01,0.66,16,1.93,2.13,4.84,19.91,1
p7_cigarette_pack,2.10,16,2.59,3.86,1.36,13.63,5
p7_gib_chunk_meat_01,4.31,16,2.61,7.35,8.75,167.67,1
p7_gib_chunk_meat_02,3.93,16,4.00,7.68,5.48,168.48,1
p7_gib_chunk_flesh_01,2.48,16,4.98,1.51,5.99,45.20,1
p7_gib_chunk_flesh_02,1.75,16,1.42,5.32,4.56,34.36,1
p7_gib_chunk_flesh_03,1.63,16,3.89,1.82,4.60,32.62,1
p7_gib_chunk_bone_02,0.91,16,2.83,3.32,2.05,19.34,1
p7_gib_chunk_meat_03,4.97,15,3.14,6.78,7.21,153.74,1
p7_pipe_metal_hp_4_cap_yellow,14.02,12,6.00,6.00,3.99,143.54,12
p7_pipe_metal_hp_12_brace_sml_1_white,43.69,12,15.95,22.68,4.00,1447.13,5
p7_pipe_metal_hp_4_straight_16_yellow,38.06,12,6.00,6.00,16.00,576.00,10
p7_aqu_railings_set_stairs_top_post_metal,33.50,12,5.43,6.51,31.82,1125.91,3
p7_aqu_railings_set_stairs_bottom_post_metal,33.50,12,5.43,5.75,32.24,1007.04,3
p7_aqu_railings_set_mid_post_metal,33.50,12,5.43,5.53,32.00,960.63,12
p7_pipe_metal_hp_4_straight_4_yellow,14.02,12,6.00,6.00,4.00,144.00,3
p7_pipe_metal_hp_4_straight_8_yellow,22.04,12,6.00,6.00,8.00,288.00,5
p7_zm_der2_signage_hazard_01,33.50,8,15.24,0.65,13.59,134.72,3
p7_office_paper_folder_beige,30.46,4,12.98,10.11,0.18,23.24,3
p7_debris_trash_snack_bag_02,15.61,4,4.81,7.68,2.70,99.84,17
p7_debris_trash_scattered_wide_clump_02,15.61,4,5.84,9.50,3.71,206.24,3
